iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
JPN,Japan,2021,13854.58,147.1,-105.51,81.66,80.44,0.84,24.48,196.2,48.84783561643836,123951696
JPN,Japan,2022,226135.61,446.51,859.76,84.35,83.22,133.48,17.26,331.32,39.68030136986301,123951696
JPN,Japan,2023,270433.8,597.56,1702.19,84.47,83.4,141.72,14.51,358.67,NA,123951696
JPN,Japan,2024,270433.8,597.56,NA,NA,NA,NA,2.4,176.2,NA,123951696
KAZ,Kazakhstan,2020,9840.07,133.22,1588.04,NA,NA,NA,NA,NA,64.75367403314912,19397998
KAZ,Kazakhstan,2021,53400.78,907.68,4203.19,46.33,43.9,NA,NA,NA,66.76742465753425,19397998
KAZ,Kazakhstan,2022,74482.15,951.2,4240.02,55.93,54.72,12.96,NA,NA,22.87539726027398,19397998
KAZ,Kazakhstan,2023,75030.41,951.95,4047.56,55.98,54.79,NA,NA,NA,NA,19397998
KAZ,Kazakhstan,2024,75088.55,951.95,NA,NA,NA,NA,NA,NA,NA,19397998
KEN,Kenya,2020,1766.61,30.51,NA,NA,NA,NA,NA,NA,58.67430939226518,54027484
KEN,Kenya,2021,5186.09,98.78,NA,10.98,7.69,0.01,NA,NA,56.089698630136986,54027484
KEN,Kenya,2022,6312.53,104.84,NA,26.31,20.05,3.25,NA,NA,40.50810958904109,54027484
KEN,Kenya,2023,6342.46,104.86,NA,26.83,20.53,3.7,NA,NA,NA,54027484
KEN,Kenya,2024,6342.68,104.86,NA,NA,NA,NA,NA,NA,NA,54027484
KGZ,Kyrgyzstan,2020,0,0,1164.57,NA,NA,NA,NA,NA,60.731270718232054,6630621
KGZ,Kyrgyzstan,2021,9904.12,123.64,2226.19,18.57,14.95,NA,NA,NA,48.945287671232876,6630621
KGZ,Kyrgyzstan,2022,12716.74,147.22,2132.56,24.69,20.53,NA,NA,NA,29.001260273972658,6630621
KGZ,Kyrgyzstan,2023,12786.9,147.22,2107.95,26.19,21.2,NA,NA,NA,NA,6630621
KGZ,Kyrgyzstan,2024,12788.34,147.22,NA,NA,NA,NA,NA,NA,NA,6630621
KHM,Cambodia,2020,21.16,0,NA,NA,NA,NA,NA,NA,44.66411602209947,16767851
KHM,Cambodia,2021,7002.15,174.87,NA,85.06,81.46,21.4,NA,NA,71.00484931506848,16767851
KHM,Cambodia,2022,8051.23,177.66,NA,90.9,87.11,62.17,NA,NA,20.186465753424667,16767851
KHM,Cambodia,2023,8081.4,177.66,NA,91.35,87.63,64.31,NA,NA,NA,16767851
KHM,Cambodia,2024,8099.13,177.66,NA,NA,NA,NA,NA,NA,NA,16767851
KIR,Kiribati,2020,0,0,NA,NA,NA,NA,NA,NA,19.562513812154705,131237
KIR,Kiribati,2021,0,0,NA,45.33,17.28,NA,NA,NA,27.136821917808216,131237
KIR,Kiribati,2022,26287.35,99.63,NA,73.29,56.3,17.84,NA,NA,29.111424657534283,131237
KIR,Kiribati,2023,38971.19,183.94,NA,76.88,62.08,28.66,NA,NA,NA,131237
KIR,Kiribati,2024,38971.19,183.94,NA,NA,NA,NA,NA,NA,NA,131237
KNA,Saint Kitts and Nevis,2020,641.97,0,213.99,NA,NA,NA,NA,NA,NA,47681
KNA,Saint Kitts and Nevis,2021,60687.77,599.17,2204.45,57.92,53.73,3.43,NA,NA,NA,47681
KNA,Saint Kitts and Nevis,2022,140420.7,984.36,3804.45,70.88,56.63,7.35,NA,NA,NA,47681
KNA,Saint Kitts and Nevis,2023,141383.66,984.36,NA,NA,NA,NA,NA,NA,NA,47681
KNA,Saint Kitts and Nevis,2024,141383.66,984.36,NA,NA,NA,NA,NA,NA,NA,47681
KOR,South Korea,2020,1097.96,15.6,5.18,NA,NA,NA,6.64,NA,49.975745856353605,51815808
KOR,South Korea,2021,11812.23,102.35,146.88,84.84,81.67,35.68,22.21,NA,51.27865753424656,51815808
KOR,South Korea,2022,553450.44,615.69,1248.72,86.4,85.6,79.76,25.38,440.21,21.521123287671227,51815808
KOR,South Korea,2023,667636.06,693.94,1650.12,86.43,85.64,NA,12.29,40.8,NA,51815808
KOR,South Korea,2024,667636.06,693.94,NA,NA,NA,NA,NA,NA,NA,51815808
KWT,Kuwait,2020,32563.14,202.42,736.35,NA,NA,NA,NA,NA,66.4075138121547,4268886
KWT,Kuwait,2021,90404.12,537.75,1548.05,78.11,75.35,8.92,NA,NA,65.07578082191779,4268886
KWT,Kuwait,2022,144441.88,559.97,1601.96,80.93,78.32,34.13,NA,NA,14.822493150684913,4268886
KWT,Kuwait,2023,145241.1,559.97,1457.41,80.99,78.39,34.14,NA,NA,NA,4268886
KWT,Kuwait,2024,145394.48,559.97,NA,NA,NA,NA,NA,NA,NA,4268886
LAO,Laos,2020,5.42,0,NA,NA,NA,NA,NA,NA,35.35618784530387,7529477
LAO,Laos,2021,14053.56,43,NA,49.73,41.16,NA,NA,NA,53.321178082191814,7529477
LAO,Laos,2022,28792.41,88.77,NA,78.21,69.36,NA,NA,NA,50.16328767123287,7529477
LAO,Laos,2023,28959.62,88.77,NA,NA,NA,NA,NA,NA,NA,7529477
LAO,Laos,2024,28980,88.77,NA,NA,NA,NA,NA,NA,NA,7529477
LBN,Lebanon,2020,29501.64,240.06,623.49,NA,NA,NA,NA,NA,61.336685082872954,5489744
LBN,Lebanon,2021,123815.78,1571.42,2354.64,41.04,33.36,5.38,NA,NA,64.71441095890415,5489744
LBN,Lebanon,2022,212747.38,1870.31,NA,49.92,43.98,12.03,NA,NA,30.18454794520543,5489744
LBN,Lebanon,2023,215842.16,1905.65,NA,NA,NA,NA,NA,NA,NA,5489744
LBN,Lebanon,2024,215842.16,1905.65,NA,NA,NA,NA,NA,NA,NA,5489744
LBR,Liberia,2020,338.9,16.56,NA,NA,NA,NA,NA,NA,54.006878453038674,5302690
LBR,Liberia,2021,1159.06,53.41,NA,14.8,14.24,NA,NA,NA,42.90098630136986,5302690
LBR,Liberia,2022,1498.15,54.72,NA,73.62,70.36,0.04,NA,NA,39.652246575342474,5302690
LBR,Liberia,2023,1475.82,54.72,NA,NA,NA,NA,NA,NA,NA,5302690
LBR,Liberia,2024,1475.82,54.72,NA,NA,NA,NA,NA,NA,NA,5302690
LBY,Libya,2020,13518.22,195.88,NA,NA,NA,NA,NA,NA,71.29640883977905,6812344
LBY,Libya,2021,53249.37,780.89,NA,27.22,12.12,NA,NA,NA,63.24679452054796,6812344
LBY,Libya,2022,70201.38,891.08,NA,33.89,18.05,2.61,NA,NA,36.52597260273972,6812344
LBY,Libya,2023,70221.87,891.08,NA,34,18.15,2.74,NA,NA,NA,6812344
LBY,Libya,2024,70221.87,891.08,NA,NA,NA,NA,NA,NA,NA,6812344
LCA,Saint Lucia,2020,1705.87,27.96,NA,NA,NA,NA,NA,NA,NA,179872
LCA,Saint Lucia,2021,74247.46,1649.94,NA,30.96,27.42,NA,NA,NA,NA,179872
LCA,Saint Lucia,2022,166381.42,2287.55,NA,33.43,30.56,4.37,NA,NA,NA,179872
LCA,Saint Lucia,2023,169077.27,2293.14,NA,NA,NA,NA,NA,NA,NA,179872
LCA,Saint Lucia,2024,169368.1,2293.14,NA,NA,NA,NA,NA,NA,NA,179872
LIE,Liechtenstein,2020,53081.15,991.46,1289.22,0,NA,NA,NA,533.6,43.90980662983425,39355
LIE,Liechtenstein,2021,154031.94,1754.12,1269.91,66.46,NA,30.93,NA,559.01,46.87646575342466,39355
LIE,Liechtenstein,2022,541005.7,2211.71,1392.45,68,NA,55.71,NA,279.51,15.942493150684959,39355
LIE,Liechtenstein,2023,548276.4,2237.14,777.5,68.02,NA,56.12,NA,127.05,NA,39355
LIE,Liechtenstein,2024,548810.25,2262.56,NA,NA,NA,NA,NA,NA,NA,39355
LKA,Sri Lanka,2020,1797.86,8.36,NA,NA,NA,NA,NA,NA,47.9996685082873,21832150
LKA,Sri Lanka,2021,25559.44,651.81,NA,73.25,63.41,18.35,NA,NA,72.74479452054794,21832150
LKA,Sri Lanka,2022,29422.03,736.37,NA,78.53,67.57,37.65,NA,NA,33.44041095890413,21832150
LKA,Sri Lanka,2023,29459.52,739.66,NA,NA,NA,NA,NA,NA,NA,21832150
LKA,Sri Lanka,2024,29463.5,740.4,NA,NA,NA,NA,NA,NA,NA,21832150
LSO,Lesotho,2020,1127.24,28,NA,NA,NA,NA,NA,NA,49.52729281767956,2305826
LSO,Lesotho,2021,12327.48,290.89,NA,33.92,31.55,NA,NA,NA,57.272273972602754,2305826
LSO,Lesotho,2022,15086.75,308.82,NA,43.29,40.16,5.98,NA,NA,25.414767123287657,2305826
LSO,Lesotho,2023,15807.62,310.13,NA,43.98,40.68,7.71,NA,NA,NA,2305826
LSO,Lesotho,2024,15807.62,310.13,NA,NA,NA,NA,NA,NA,NA,2305826
LTU,Lithuania,2020,47647.4,574.03,1931.16,0.35,NA,NA,45.82,912.71,47.56798342541436,2750058
LTU,Lithuania,2021,183180.8,2592.19,5940.03,69.74,66.62,23.71,58.54,934.89,46.80186301369862,2750058
LTU,Lithuania,2022,456605.47,3361.47,8358.04,71.14,68.36,34.3,39.64,631.62,14.178054794520541,2750058
LTU,Lithuania,2023,482523.12,3469.39,9580.7,71.2,68.4,34.49,3.64,48.36,NA,2750058
LTU,Lithuania,2024,486117.47,3482.52,NA,71.21,68.4,34.49,NA,NA,NA,2750058
LUX,Luxembourg,2020,58751.05,436.24,187.5,0.19,NA,NA,77.21,381.41,43.201353591160235,647601
LUX,Luxembourg,2021,146771.23,971.96,57.09,71.71,5.85,32.26,58.68,223.9,46.043342465753426,647601
LUX,Luxembourg,2022,558484.7,1461.77,-254.94,74.41,NA,70.4,33.97,135.89,24.25917808219174,647601
LUX,Luxembourg,2023,597011.25,1530.65,-732.16,74.42,71.45,70.9,9.26,49.41,NA,647601
LUX,Luxembourg,2024,602376.2,1530.65,NA,NA,NA,NA,NA,NA,NA,647601
LVA,Latvia,2020,19313.6,335.98,296.99,0.13,0,NA,NA,NA,41.09372928176798,1850654
LVA,Latvia,2021,144295.92,2559.73,3835.37,71.01,68.22,13.97,128.6,NA,49.57482191780821,1850654
LVA,Latvia,2022,515943.16,3727.16,5395.23,72.74,70.57,28.61,62.14,NA,16.232438356164337,1850654
LVA,Latvia,2023,519761.22,3968.51,5726.11,NA,NA,NA,4.86,NA,NA,1850654
LVA,Latvia,2024,519795.25,3973.83,NA,NA,NA,NA,NA,NA,NA,1850654
MAC,Macao,2021,NA,NA,-6.99,70.93,66.4,NA,NA,NA,27.908593272171263,695180
MAC,Macao,2022,NA,NA,955.44,97.31,91.87,67.64,NA,NA,43.13065753424657,695180
MAC,Macao,2023,NA,NA,1793.07,97.77,92.39,69.19,NA,NA,NA,695180
MAF,Saint Martin (French part),2020,34120.01,415.25,NA,NA,NA,NA,NA,NA,NA,31816
MAF,Saint Martin (French part),2021,142501.22,1349.57,NA,NA,NA,NA,NA,NA,NA,31816
MAF,Saint Martin (French part),2022,421482.47,1591.81,NA,NA,NA,NA,NA,NA,NA,31816
MAF,Saint Martin (French part),2023,426465.5,1591.81,NA,NA,NA,NA,NA,NA,NA,31816
MAF,Saint Martin (French part),2024,426465.5,1591.81,NA,NA,NA,NA,NA,NA,NA,31816
MAR,Morocco,2020,11534.23,192.99,NA,NA,NA,NA,NA,NA,61.830524861878416,37457976
MAR,Morocco,2021,25599,397.2,NA,65.75,61.39,NA,NA,NA,67.87468493150685,37457976
MAR,Morocco,2022,34055.07,436.5,NA,66.78,62.78,18.33,NA,NA,32.337150684931494,37457976
MAR,Morocco,2023,34243.26,436.66,NA,66.8,62.8,18.49,NA,NA,NA,37457976
MAR,Morocco,2024,34265.92,436.79,NA,NA,NA,NA,NA,NA,NA,37457976
MCO,Monaco,2020,16560.12,77.02,1044.85,NA,NA,NA,NA,NA,50.68378453038673,36491
MCO,Monaco,2021,118231.53,975.64,4385.37,79.13,70.34,29.04,NA,NA,38.832027397260276,36491
MCO,Monaco,2022,422064.75,1668.85,5897.34,NA,NA,NA,NA,NA,21.403616438356167,36491
MCO,Monaco,2023,441115.3,1720.2,NA,NA,NA,NA,NA,NA,NA,36491
MCO,Monaco,2024,441115.3,1720.2,NA,NA,NA,NA,NA,NA,NA,36491
MDA,Moldova,2020,46380.46,973.69,1666.73,NA,NA,NA,NA,NA,53.26563535911601,3272993
MDA,Moldova,2021,123141.65,3350.01,5128.84,30.24,30.01,NA,NA,NA,53.74821917808218,3272993
MDA,Moldova,2022,196086.36,3924.03,5554.3,33.74,32.81,11.89,NA,NA,17.0244383561644,3272993
MDA,Moldova,2023,207586.75,4004.62,NA,33.9,32.97,12.41,NA,NA,NA,3272993
MDA,Moldova,2024,209711.42,4027.98,NA,NA,NA,NA,NA,NA,NA,3272993
MDG,Madagascar,2020,581.98,8.57,NA,NA,NA,NA,NA,NA,48.48055248618786,29611718
MDG,Madagascar,2021,1651.89,33.74,NA,1.99,1.83,NA,NA,NA,47.570821917808225,29611718
MDG,Madagascar,2022,2225.4,46.52,NA,7.09,6.84,0.38,NA,NA,17.165589041095956,29611718
MDG,Madagascar,2023,2249.94,46.85,NA,9.15,8.88,0.57,NA,NA,NA,29611718
MDG,Madagascar,2024,2252.73,46.92,NA,NA,NA,NA,NA,NA,NA,29611718
MDV,Maldives,2020,26032.4,91.58,312.18,NA,NA,NA,NA,NA,NA,523798
MDV,Maldives,2021,180998.1,497.98,1109.17,75.75,70.15,4.95,NA,NA,NA,523798
MDV,Maldives,2022,354268.9,593.38,NA,76.2,73.52,31.92,NA,NA,NA,523798
MDV,Maldives,2023,356207.4,602.92,NA,76.23,73.53,31.94,NA,NA,NA,523798
MDV,Maldives,2024,356207.4,602.92,NA,NA,NA,NA,NA,NA,NA,523798
MEX,Mexico,2020,11300.67,1118.78,2442.17,0.02,NA,NA,NA,NA,57.39265027322401,127504120
MEX,Mexico,2021,31116.41,2357.89,5099.9,64.25,57.08,NA,NA,NA,49.12136986301368,127504120
MEX,Mexico,2022,56336.32,2576.11,5406.94,76.22,64.19,44.73,NA,NA,25.422876712328794,127504120
MEX,Mexico,2023,59157.39,2597.92,5050.47,NA,NA,NA,NA,NA,NA,127504120
MEX,Mexico,2024,59243.24,2601.22,NA,NA,NA,NA,NA,NA,NA,127504120
MHL,Marshall Islands,2020,99.77,0,NA,NA,NA,NA,NA,NA,NA,41593
MHL,Marshall Islands,2021,99.77,0,NA,NA,NA,NA,NA,NA,NA,41593
MHL,Marshall Islands,2022,387688.94,424,NA,NA,NA,NA,NA,NA,NA,41593
MHL,Marshall Islands,2023,402504.12,424,NA,NA,NA,NA,NA,NA,NA,41593
MHL,Marshall Islands,2024,406469.78,424,NA,NA,NA,NA,NA,NA,NA,41593
MKD,North Macedonia,2020,44448.65,1573.71,2683.75,NA,NA,NA,NA,NA,NA,2093606
MKD,North Macedonia,2021,121348.02,4538.55,6749.4,40.26,39.01,4.56,NA,NA,NA,2093606
MKD,North Macedonia,2022,187795.48,5366.7,7957.56,40.81,40.03,7.72,NA,NA,NA,2093606
MKD,North Macedonia,2023,190364.72,5415.07,8062.5,40.82,40.04,7.72,NA,NA,NA,2093606
MKD,North Macedonia,2024,190695.11,5422.13,NA,NA,NA,NA,NA,NA,NA,2093606
MLI,Mali,2020,284.93,10.84,NA,NA,NA,NA,NA,NA,39.389779005524865,22593598
MLI,Mali,2021,867.3,28.3,NA,3.88,1.74,NA,NA,NA,44.79865753424657,22593598
MLI,Mali,2022,1420.21,32.2,NA,14.62,11.83,NA,NA,NA,28.864931506849327,22593598
MLI,Mali,2023,1437.37,32.2,NA,19.27,16.08,NA,NA,NA,NA,22593598
MLI,Mali,2024,1437.46,32.2,NA,NA,NA,NA,NA,NA,NA,22593598
MLT,Malta,2020,23885.16,429.77,513.04,NA,NA,NA,48.75,NA,46.25803867403314,533293
MLT,Malta,2021,89807.91,933.37,981.68,83.37,81.73,NA,50.63,NA,51.804520547945195,533293
MLT,Malta,2022,220064.97,1578.96,1412.92,89.74,88.38,NA,7.5,NA,22.130027397260257,533293
MLT,Malta,2023,229124.14,1686.88,1316.45,89.81,88.42,92.2,9.38,NA,NA,533293
MLT,Malta,2024,232482.77,1745.57,NA,89.81,88.43,92.38,NA,NA,NA,533293
MMR,Myanmar,2020,2267.36,48.38,NA,NA,NA,NA,NA,NA,63.12770718232041,54179312
MMR,Myanmar,2021,9852.02,358.17,NA,34.75,24.05,NA,NA,NA,72.99065753424658,54179312
MMR,Myanmar,2022,11786.64,362.56,NA,64.19,50.84,4.11,NA,NA,55.77849315068492,54179312
MMR,Myanmar,2023,11932.41,362.63,NA,76.69,66.33,29.51,NA,NA,NA,54179312
MMR,Myanmar,2024,11959.14,362.63,NA,NA,NA,NA,NA,NA,NA,54179312
MNE,Montenegro,2020,57284.63,883.43,883.86,NA,NA,NA,NA,NA,NA,627082
MNE,Montenegro,2021,257073.12,3702.92,4750.93,45.27,43.51,12.4,NA,NA,NA,627082
MNE,Montenegro,2022,396929.97,4256.08,5335.19,46.69,45.43,16.19,NA,NA,NA,627082
MNE,Montenegro,2023,408818.03,4317.9,4555.73,NA,NA,NA,NA,NA,NA,627082
MNE,Montenegro,2024,408818.03,4317.9,NA,NA,NA,NA,NA,NA,NA,627082
MNG,Mongolia,2020,331.07,0.3,-455.99,NA,NA,NA,NA,NA,59.630248618784535,3398373
MNG,Mongolia,2021,204059.94,585.05,216.2,66.68,63.66,26.81,NA,NA,58.9547397260274,3398373
MNG,Mongolia,2022,297492.47,630.83,211.22,66.88,64.02,30.73,NA,NA,10.909013698630146,3398373
MNG,Mongolia,2023,298679.72,630.83,-4.93,NA,NA,NA,NA,NA,NA,3398373
MNG,Mongolia,2024,298725.5,630.83,NA,NA,NA,NA,NA,NA,NA,3398373
MNP,Northern Mariana Islands,2020,2646.36,43.38,NA,NA,NA,NA,NA,NA,NA,49574
MNP,Northern Mariana Islands,2021,62753.52,238.61,NA,NA,NA,NA,NA,NA,NA,49574
MNP,Northern Mariana Islands,2022,287108.75,889.35,NA,NA,NA,NA,NA,NA,NA,49574
MNP,Northern Mariana Islands,2023,311077.84,889.35,NA,NA,NA,NA,NA,NA,NA,49574
MNP,Northern Mariana Islands,2024,323463.7,889.35,NA,NA,NA,NA,NA,NA,NA,49574
MOZ,Mozambique,2020,556.16,4.87,NA,NA,NA,NA,NA,NA,52.384088397790016,32969520
MOZ,Mozambique,2021,5048.41,60.02,NA,26.19,18.46,NA,NA,NA,51.34980821917809,32969520
MOZ,Mozambique,2022,7072.77,68.29,NA,56.36,55.96,3.01,NA,NA,28.333095890410974,32969520
MOZ,Mozambique,2023,7157.32,68.9,NA,69.37,64.7,7.05,NA,NA,NA,32969520
MOZ,Mozambique,2024,7160.74,68.96,NA,NA,NA,NA,NA,NA,NA,32969520
MRT,Mauritania,2020,2772.15,69.12,NA,NA,NA,NA,NA,NA,39.250662983425435,4736146
MRT,Mauritania,2021,8296.95,176.8,NA,24.62,16.2,NA,NA,NA,37.499835616438354,4736146
MRT,Mauritania,2022,13009.15,204.49,NA,44.32,32.46,8.09,NA,NA,32.46643835616436,4736146
MRT,Mauritania,2023,13082.78,204.49,NA,44.42,32.53,8.11,NA,NA,NA,4736146
MRT,Mauritania,2024,13100.22,204.49,NA,NA,NA,NA,NA,NA,NA,4736146
MSR,Montserrat,2020,2904.38,223.41,NA,NA,NA,NA,NA,NA,NA,4413
MSR,Montserrat,2021,10053.62,223.41,NA,35.06,33.36,NA,NA,NA,NA,4413
MSR,Montserrat,2022,313449.5,1787.31,NA,47.68,44.23,12.76,NA,NA,NA,4413
MSR,Montserrat,2023,313449.5,1787.31,NA,NA,NA,NA,NA,NA,NA,4413
MSR,Montserrat,2024,313449.5,1787.31,NA,NA,NA,NA,NA,NA,NA,4413
MTQ,Martinique,2020,17375.33,120.18,18.9,NA,NA,NA,NA,NA,NA,367512
MTQ,Martinique,2021,136862.2,2217.7,2570.78,NA,NA,NA,NA,NA,NA,367512
MTQ,Martinique,2022,650687.75,3087.61,3709.81,NA,NA,NA,NA,NA,NA,367512
MTQ,Martinique,2023,659169.44,3159.15,3552.5,NA,NA,NA,NA,NA,NA,367512
MTQ,Martinique,2024,659169.44,3159.15,NA,NA,NA,NA,NA,NA,NA,367512
MUS,Mauritius,2020,412.97,7.84,-296.49,NA,NA,NA,NA,NA,30.151602209944752,1299478
MUS,Mauritius,2021,70596.03,597.12,845.01,72.11,70.02,NA,NA,NA,52.53958904109589,1299478
MUS,Mauritius,2022,228193.9,814.18,1459.97,86.48,83.74,49.2,NA,NA,20.569013698630105,1299478
MUS,Mauritius,2023,253672.42,830.63,NA,86.48,83.74,50.37,NA,NA,NA,1299478
MUS,Mauritius,2024,257157.16,840.82,NA,NA,NA,NA,NA,NA,NA,1299478
MWI,Malawi,2020,308.38,9.14,NA,NA,NA,NA,NA,NA,45.67986187845306,20405318
MWI,Malawi,2021,3436.38,113.18,NA,7.32,3.46,NA,NA,NA,41.52879452054794,20405318
MWI,Malawi,2022,4286.12,130.54,NA,22.48,15.16,2.5,NA,NA,30.219260273972587,20405318
MWI,Malawi,2023,4335.12,130.59,NA,26.63,21.01,6.04,NA,NA,NA,20405318
MWI,Malawi,2024,4335.12,130.59,NA,NA,NA,NA,NA,NA,NA,20405318
MYS,Malaysia,2020,2994.62,13,-409.75,NA,NA,NA,5.72,93.96,56.49024861878451,33938216
MYS,Malaysia,2021,79006.77,903.11,782.72,76.72,75.62,18.71,46.94,434.7,70.6207397260274,33938216
MYS,Malaysia,2022,144782.66,1061.66,1283.01,82.87,81.14,49.84,11.49,224.82,21.076904109589048,33938216
MYS,Malaysia,2023,150662.84,1074.87,1268.92,82.91,81.18,50.61,1.89,47.26,NA,33938216
MYS,Malaysia,2024,153028.81,1076.54,NA,82.91,81.18,50.64,1.68,25.16,NA,33938216
MYT,Mayotte,2020,18890.98,176.89,465.98,NA,NA,NA,NA,NA,NA,326113
MYT,Mayotte,2021,69733.17,606,1294.85,NA,NA,NA,NA,NA,NA,326113
MYT,Mayotte,2022,137477.97,612.56,1557.13,NA,NA,NA,NA,NA,NA,326113
MYT,Mayotte,2023,137667.97,612.56,1602.32,NA,NA,NA,NA,NA,NA,326113
MYT,Mayotte,2024,137667.97,612.56,NA,NA,NA,NA,NA,NA,NA,326113
NAM,Namibia,2020,7586.68,67.48,-568.32,NA,NA,NA,NA,NA,44.02220994475137,2567024
NAM,Namibia,2021,50558.4,1249.62,1225.86,13.5,11.05,NA,NA,NA,45.70536986301369,2567024
NAM,Namibia,2022,58926.49,1412.62,NA,23.48,20.49,3.98,NA,NA,16.682684931506852,2567024
NAM,Namibia,2023,59608.58,1419.89,NA,24.53,21.46,11.63,NA,NA,NA,2567024
NAM,Namibia,2024,59706.86,1421.62,NA,NA,NA,NA,NA,NA,NA,2567024
NCL,New Caledonia,2020,132.34,0,-360.32,NA,NA,NA,NA,NA,NA,289959
NCL,New Caledonia,2021,44289.89,975.16,713.67,62.94,59.74,NA,NA,NA,NA,289959
NCL,New Caledonia,2022,275699.94,1093.58,1385.71,66.1,63.5,32.49,NA,NA,NA,289959
NCL,New Caledonia,2023,278841.38,1093.58,1775.07,66.35,63.74,35.7,NA,NA,NA,289959
NCL,New Caledonia,2024,279186.16,1093.58,NA,NA,NA,NA,NA,NA,NA,289959
NER,Niger,2020,122.83,3.99,NA,NA,NA,NA,NA,NA,24.094392265193374,26207982
NER,Niger,2021,287.14,10.82,NA,1.94,1.77,NA,NA,NA,26.534438356164387,26207982
NER,Niger,2022,374.76,12.4,NA,23.17,20.25,NA,NA,NA,13.679479452054785,26207982
NER,Niger,2023,375.91,12.44,NA,23.84,20.92,NA,NA,NA,NA,26207982
NER,Niger,2024,376.03,12.44,NA,NA,NA,NA,NA,NA,NA,26207982
NGA,Nigeria,2020,374.53,5.59,NA,NA,NA,NA,NA,NA,55.71345303867402,218541216
NGA,Nigeria,2021,1057.64,13.51,NA,4.72,2.05,NA,NA,NA,46.091945205479455,218541216
NGA,Nigeria,2022,1193.88,14.14,NA,33.11,27.39,3.8,NA,NA,21.107808219178064,218541216
NGA,Nigeria,2023,1197.34,14.14,NA,42.93,37.2,7.7,NA,NA,NA,218541216
NGA,Nigeria,2024,1197.34,14.14,NA,NA,NA,NA,NA,NA,NA,218541216
NIC,Nicaragua,2020,711.67,24.37,1212.48,NA,NA,NA,NA,NA,12.603701657458556,6948395
NIC,Nicaragua,2021,2010.35,32.09,2620.14,70.22,41.82,NA,NA,NA,9.150684931506849,6948395
NIC,Nicaragua,2022,2282.84,36.4,2574,88.76,85.36,NA,NA,NA,12.38194520547945,6948395
NIC,Nicaragua,2023,2394.27,36.4,NA,92.17,88.17,41.63,NA,NA,NA,6948395
NIC,Nicaragua,2024,2404.67,36.4,NA,NA,NA,NA,NA,NA,NA,6948395
NIU,Niue,2020,0,0,NA,NA,NA,NA,NA,NA,NA,1952
NIU,Niue,2021,0,0,NA,61.58,58.91,NA,NA,NA,NA,1952
NIU,Niue,2022,181670.28,0,NA,83.81,83.71,62.7,NA,NA,NA,1952
NIU,Niue,2023,538503.25,0,NA,83.91,83.76,62.76,NA,NA,NA,1952
NIU,Niue,2024,582429.5,0,NA,NA,NA,NA,NA,NA,NA,1952
NLD,Netherlands,2020,43184.75,644.48,755.45,NA,NA,NA,NA,NA,50.683425414364656,17564020
NLD,Netherlands,2021,172331.84,1170.66,1624.49,70.68,65.97,26.29,43.78,109.2,57.80901369863012,17564020
NLD,Netherlands,2022,478433.03,1283.26,2329.86,71.61,66.98,53.48,22.55,82.84,20.73243835616442,17564020
NLD,Netherlands,2023,482061.34,1283.82,2956.03,71.64,67,53.61,3.02,49.76,NA,17564020
NLD,Netherlands,2024,482562.8,1283.82,NA,NA,NA,NA,3.13,38.26,NA,17564020
NOR,Norway,2020,8657.83,77.15,-29.59,0.04,NA,NA,NA,59.8,42.18707182320442,5434324
NOR,Norway,2021,68774.8,244.65,217.45,78.99,72.31,28.85,NA,70.48,50.34126027397257,5434324
NOR,Norway,2022,270217.97,869.56,1115.61,79.99,74.61,68.89,NA,117.4,14.806246575342454,5434324
NOR,Norway,2023,275607.03,1050.43,1717.06,NA,NA,NA,NA,NA,NA,5434324
NOR,Norway,2024,277204.28,1050.43,NA,NA,NA,NA,NA,NA,NA,5434324
NPL,Nepal,2020,8688.45,91.54,NA,NA,NA,NA,NA,NA,66.6517679558011,30547586
NPL,Nepal,2021,27839.78,389.86,NA,40.11,31.88,NA,NA,NA,51.94139726027396,30547586
NPL,Nepal,2022,33685.06,404.47,NA,90.24,78.75,28.4,NA,NA,35.65413698630137,30547586
NPL,Nepal,2023,33768.65,404.87,NA,91.28,80.11,33.63,NA,NA,NA,30547586
NPL,Nepal,2024,33768.65,404.87,NA,NA,NA,NA,NA,NA,NA,30547586
NRU,Nauru,2020,0,0,NA,NA,NA,NA,NA,NA,NA,12691
NRU,Nauru,2021,0,0,NA,59.98,57.13,NA,NA,NA,NA,12691
NRU,Nauru,2022,390914.47,84.6,NA,90.79,67.65,39.91,NA,NA,NA,12691
NRU,Nauru,2023,456221.97,84.6,NA,103.27,89.4,60.71,NA,NA,NA,12691
NRU,Nauru,2024,456221.97,84.6,NA,NA,NA,NA,NA,NA,NA,12691
NZL,New Zealand,2020,348.62,4.87,-435.44,NA,NA,NA,NA,NA,36.9253867403315,5185289
NZL,New Zealand,2021,2636.34,9.74,-534.67,76.59,74.37,6.9,NA,NA,44.59435616438359,5185289
NZL,New Zealand,2022,395184.44,445.85,-83.27,82.92,79.81,67.84,NA,NA,22.93632876712326,5185289
NZL,New Zealand,2023,475545.97,706,108.22,82.97,82.77,70.6,NA,NA,NA,5185289
